,original,paraphrase,our_paraphrase
0,Stanje kožuha ni vplivalo na kakovost njenega življenja.,,
0,Evropski prvak v oponašanju galebov je Nizozemec.,,
0,Galebe v javnosti pogosto prezirajo zaradi njihovega vsiljivega vedenja.,,
0,Ustvarili so namreč čokoladni doprsni kip kralja v naravni velikosti.,,
0,V torbi Američanke so našli zlato pištolo.,,
0,Sicer se nizozemsko podjetje že dolgo bojuje proti modernemu suženjstvu in otroškemu delu v čokoladni industriji.,,
0,V svojih menijih odslikava tudi lastno razmišljanje o razmerah v svetu.,,
0,Hišni ljubljenčki bodo lahko odkrivali več kot 120 grških arheoloških najdišč.,,
0,Trinožci se ne bodo smeli sprehajati po najbolj priljubljenih turističnih znamenitostih.,,
0,Ni še znano kdaj naj bi novi pravilnik začel veljati.,,
0,Med prvomajskimi destinacijami so priljubljene tudi turistične kmetije.,,
0,Čas prvomajskih dopustov je tudi priložnost za oddih na kateri od turističnih kmetij.,,
0,Obisk domačih gostov za prvomajske praznike je močno odvisen od vremena.,,
0,Preteklo leto po številu obiskov in prenočitev na kmetijah podobno letu 2019.,,
0,Zanimanje za obisk ali nastanitev na turističnih kmetijah v zadnjih letih raste,,
0,Največ zanimanja je za kmetije z nastanitvijo in izletniške kmetije.,,
0,Zanimanje za tovrstni oddih se bo na podeželju ohranil.,,
0,Neposredni stik z morjem veliko pripomore k razumevanju morja.,,
0,Pretekle sezone so bile uspešne.,,
0,Obtožbe zanemarjanja so zanikali.,,
0,"Slavko Žitnik je velik veleum, ki pogosto izumi kaj novega.",,